"","Age","Measurement","Gender","L","M","S","P1","P10","P25","P50","P75","P90","P99"
"1",52,"wt","girl",-0.200342857142857,8.91657142857143,0.12265,6.75614285714286,7.638,8.21428571428572,8.91657142857143,9.69228571428571,10.4607142857143,11.9617142857143
"2",53,"wt","girl",-0.203628571428571,8.96834285714286,0.122691428571429,6.79557142857143,7.68228571428571,8.26157142857143,8.96828571428571,9.749,10.5224285714286,12.0342857142857
"3",54,"wt","girl",-0.206828571428571,9.01977142857143,0.122732857142857,6.83471428571429,7.72642857142857,8.309,9.01985714285714,9.805,10.5838571428571,12.1061428571429
"4",55,"wt","girl",-0.209957142857143,9.07087142857143,0.122767142857143,6.87371428571429,7.77,8.356,9.07085714285714,9.861,10.6447142857143,12.1775714285714
"5",56,"wt","girl",-0.213,9.12165714285714,0.122802857142857,6.91257142857143,7.81357142857143,8.40271428571429,9.12157142857143,9.91671428571429,10.7051428571429,12.2482857142857
"6",57,"wt","girl",-0.215957142857143,9.1722,0.122832857142857,6.95128571428571,7.85671428571429,8.449,9.17228571428571,9.972,10.7652857142857,12.319
"7",58,"wt","girl",-0.2188,9.22244285714286,0.122861428571429,6.98957142857143,7.89985714285714,8.49528571428571,9.22257142857143,10.0268571428571,10.8252857142857,12.3888571428571
"8",59,"wt","girl",-0.2216,9.27248571428571,0.122887142857143,7.02771428571429,7.94271428571429,8.54128571428572,9.27257142857143,10.0815714285714,10.8845714285714,12.4581428571429
"9",60,"wt","girl",-0.224342857142857,9.3223,0.12291,7.06585714285714,7.98542857142857,8.58728571428571,9.32228571428571,10.136,10.9438571428571,12.5274285714286
"10",61,"wt","girl",-0.226985714285714,9.37195714285714,0.12293,7.10385714285714,8.028,8.63271428571429,9.372,10.1902857142857,11.0028571428571,12.5964285714286
"11",62,"wt","girl",-0.229571428571429,9.42141428571429,0.122947142857143,7.14185714285714,8.07028571428572,8.67828571428571,9.42142857142857,10.2442857142857,11.0615714285714,12.6647142857143
"12",63,"wt","girl",-0.232071428571429,9.47072857142857,0.122962857142857,7.17957142857143,8.113,8.72371428571429,9.471,10.298,11.12,12.7331428571429
"13",64,"wt","girl",-0.234514285714286,9.51987142857143,0.122975714285714,7.21728571428571,8.155,8.76914285714286,9.52,10.3517142857143,11.1782857142857,12.8008571428571
"14",65,"wt","girl",-0.2369,9.56888571428571,0.122987142857143,7.255,8.197,8.81428571428571,9.569,10.4051428571429,11.2362857142857,12.8685714285714
"15",66,"wt","girl",-0.239185714285714,9.61775714285714,0.122997142857143,7.29242857142857,8.239,8.85928571428571,9.618,10.4584285714286,11.2941428571429,12.936
"16",67,"wt","girl",-0.241442857142857,9.66654285714286,0.123005714285714,7.33,8.281,8.90414285714286,9.66685714285714,10.5115714285714,11.3518571428571,13.003
"17",68,"wt","girl",-0.243614285714286,9.71522857142857,0.123012857142857,7.36728571428571,8.323,8.94914285714286,9.715,10.5645714285714,11.4094285714286,13.0701428571429
