"","Age","Measurement","Gender","L","M","S","P1","P10","P25","P50","P75","P90","P99"
"1",52,"wt","boy",0.0655857142857143,9.6155,0.109224285714286,7.442,8.35414285714286,8.931,9.61557142857143,10.3488571428571,11.053,12.3712857142857
"2",53,"wt","boy",0.0636857142857143,9.66868571428571,0.109274285714286,7.48271428571429,8.39985714285714,8.98,9.66871428571429,10.4064285714286,11.1151428571429,12.442
"3",54,"wt","boy",0.0618,9.7214,0.109325714285714,7.52314285714286,8.44528571428572,9.029,9.72128571428571,10.4635714285714,11.1765714285714,12.512
"4",55,"wt","boy",0.0599285714285714,9.77372857142857,0.109378571428571,7.56314285714286,8.49042857142857,9.07714285714286,9.77371428571429,10.52,11.2378571428571,12.5817142857143
"5",56,"wt","boy",0.0580857142857143,9.82565714285714,0.109434285714286,7.60271428571429,8.535,9.125,9.82571428571429,10.577,11.2985714285714,12.6505714285714
"6",57,"wt","boy",0.0562571428571429,9.87717142857143,0.109492857142857,7.64214285714286,8.57928571428572,9.17257142857143,9.87728571428571,10.6328571428571,11.3588571428571,12.7194285714286
"7",58,"wt","boy",0.0544714285714286,9.92837142857143,0.109552857142857,7.68114285714286,8.62328571428571,9.21985714285714,9.92842857142857,10.688,11.4187142857143,12.788
"8",59,"wt","boy",0.0526714285714286,9.97921428571428,0.109614285714286,7.71971428571429,8.66671428571428,9.26671428571429,9.97942857142857,10.7434285714286,11.4782857142857,12.856
"9",60,"wt","boy",0.0509285714285714,10.0298,0.10968,7.75814285714286,8.71028571428571,9.31328571428571,10.0297142857143,10.7984285714286,11.5377142857143,12.9237142857143
"10",61,"wt","boy",0.0491714285714286,10.0800571428571,0.10974,7.79628571428571,8.75328571428572,9.35957142857143,10.0801428571429,10.853,11.5965714285714,12.991
"11",62,"wt","boy",0.0474571428571429,10.1300857142857,0.10981,7.83414285714286,8.796,9.40571428571429,10.1301428571429,10.9074285714286,11.6554285714286,13.0582857142857
"12",63,"wt","boy",0.0457571428571429,10.1798857142857,0.10988,7.87185714285714,8.839,9.45157142857143,10.18,10.9615714285714,11.714,13.1254285714286
"13",64,"wt","boy",0.0440571428571429,10.2294142857143,0.10995,7.90928571428571,8.881,9.49728571428571,10.2294285714286,11.0155714285714,11.7722857142857,13.1922857142857
"14",65,"wt","boy",0.0424,10.2787428571429,0.110022857142857,7.94657142857143,8.923,9.54257142857143,10.279,11.0692857142857,11.8301428571429,13.2587142857143
